participant_id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
1,4,5,3,5,5,2,3,3,3,5
2,4,3,5,2,4,2,4,5,1,4
3,2,5,4,1,1,3,3,2,4,4
4,3,4,4,1,3,5,3,5,1,2
5,4,1,4,2,2,1,2,5,2,4
6,4,4,4,5,3,1,4,2,4,2
7,2,4,5,2,2,4,2,2,4,4
8,1,5,5,2,5,2,1,4,4,4
9,5,1,5,5,1,1,1,1,4,3
10,3,1,3,3,1,3,5,2,2,1
11,4,1,4,2,1,5,3,4,3,3
12,1,3,5,3,1,5,2,3,1,2
13,2,4,5,3,1,4,5,4,5,5
14,3,5,4,5,3,3,4,2,2,5
15,1,5,4,4,4,4,4,3,2,4
16,1,1,1,1,3,1,4,5,1,3
17,3,1,5,1,3,2,4,3,1,4
18,1,1,2,4,4,2,3,1,5,1
19,1,3,1,2,2,4,5,1,1,3
20,2,5,4,2,4,3,3,1,5,4
21,2,3,1,1,4,3,5,3,4,4
22,3,4,3,2,3,3,4,4,1,1
23,2,1,3,4,1,1,2,2,3,4
24,2,1,4,4,1,2,1,4,5,5
25,3,1,1,3,3,3,4,1,4,3
26,1,4,4,3,1,3,1,5,2,2
27,2,3,5,1,4,1,4,1,5,4
28,3,1,1,4,3,3,5,3,3,3
29,2,5,1,4,1,5,4,5,3,4
30,3,1,1,4,4,5,5,3,4,1
31,5,5,1,5,3,4,1,4,5,5
32,1,3,2,1,2,2,3,2,2,3
33,2,2,2,1,1,1,3,5,2,2
34,3,2,1,5,4,2,1,4,5,4
35,1,4,3,4,2,2,3,1,2,5
36,2,2,1,4,2,3,4,5,1,5
37,4,4,4,5,4,5,4,3,4,5
38,2,4,2,3,1,3,4,2,2,5
39,2,5,1,4,5,1,2,2,1,2
40,1,5,5,1,5,5,5,3,4,2
