participant_id,task_1,task_2,task_3,task_4,task_5
1,35,19,28,31,17
2,24,0,16,22,15
3,38,13,21,26,36
4,13,34,25,17,28
5,26,20,25,21,25
6,30,37,15,42,9
7,23,29,27,20,23
8,21,20,31,27,19
9,32,27,31,30,18
10,20,30,29,24,25
11,35,20,29,23,23
12,33,31,31,35,25
13,30,22,27,23,25
14,29,18,41,16,15
15,34,31,29,30,24
16,17,25,19,32,23
17,18,22,28,20,18
18,26,26,20,21,26
19,13,13,19,23,27
20,36,31,23,24,16
21,24,22,27,18,29
22,37,24,28,30,21
23,26,25,25,18,25
24,28,36,32,42,18
25,31,26,42,18,18
26,20,8,20,18,26
27,27,40,32,20,17
28,28,14,39,34,21
29,11,35,24,34,12
30,20,25,25,21,29
31,16,23,25,29,30
32,16,12,35,27,19
33,37,25,34,25,41
34,39,23,32,30,35
35,17,30,33,10,15
36,8,22,30,37,25
37,38,13,11,24,28
38,24,8,24,14,30
39,27,17,20,16,24
40,32,17,29,20,18
