group,participant_id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
A,1,4,5,3,5,5,2,3,3,3,5
A,2,4,3,5,2,4,2,4,5,1,4
A,3,2,5,4,1,1,3,3,2,4,4
A,4,3,4,4,1,3,5,3,5,1,2
A,5,4,1,4,2,2,1,2,5,2,4
A,6,4,4,4,5,3,1,4,2,4,2
A,7,2,4,5,2,2,4,2,2,4,4
A,8,1,5,5,2,5,2,1,4,4,4
A,9,5,1,5,5,1,1,1,1,4,3
A,10,3,1,3,3,1,3,5,2,2,1
A,11,4,1,4,2,1,5,3,4,3,3
A,12,1,3,5,3,1,5,2,3,1,2
A,13,2,4,5,3,1,4,5,4,5,5
A,14,3,5,4,5,3,3,4,2,2,5
A,15,1,5,4,4,4,4,4,3,2,4
A,16,1,1,1,1,3,1,4,5,1,3
A,17,3,1,5,1,3,2,4,3,1,4
A,18,1,1,2,4,4,2,3,1,5,1
A,19,1,3,1,2,2,4,5,1,1,3
A,20,2,5,4,2,4,3,3,1,5,4
B,21,2,3,1,1,4,3,5,3,4,4
B,22,3,4,3,2,3,3,4,4,1,1
B,23,2,1,3,4,1,1,2,2,3,4
B,24,2,1,4,4,1,2,1,4,5,5
B,25,3,1,1,3,3,3,4,1,4,3
B,26,1,4,4,3,1,3,1,5,2,2
B,27,2,3,5,1,4,1,4,1,5,4
B,28,3,1,1,4,3,3,5,3,3,3
B,29,2,5,1,4,1,5,4,5,3,4
B,30,3,1,1,4,4,5,5,3,4,1
B,31,5,5,1,5,3,4,1,4,5,5
B,32,1,3,2,1,2,2,3,2,2,3
B,33,2,2,2,1,1,1,3,5,2,2
B,34,3,2,1,5,4,2,1,4,5,4
B,35,1,4,3,4,2,2,3,1,2,5
B,36,2,2,1,4,2,3,4,5,1,5
B,37,4,4,4,5,4,5,4,3,4,5
B,38,2,4,2,3,1,3,4,2,2,5
B,39,2,5,1,4,5,1,2,2,1,2
B,40,1,5,5,1,5,5,5,3,4,2
